uses_expectations_file,num_regressions,has_pretty_patch,date,other_crashes,num_passes,revision,layout_tests_dir,version,skipped,num_missing,num_flaky,fixable,pixel_tests_enabled,interrupted
True,278,True,"11:03AM on May 20, 2022",{},50892,250805@main,/app/webkit/LayoutTests,4,21830,12,0,25763,False,True
True,222,True,"12:24PM on May 20, 2022",{},52067,250806@main,/app/webkit/LayoutTests,4,20555,55,58,24589,False,False
True,152,True,"01:05PM on May 20, 2022",{},29041,250810@main,/app/webkit/LayoutTests,4,44952,3,0,47615,False,True
True,68,True,"08:43PM on May 20, 2022",{},15822,250832@main,/app/webkit/LayoutTests,4,60132,2,0,60833,False,True
True,73,True,"04:39AM on May 21, 2022",{},15841,250837@main,/app/webkit/LayoutTests,4,60108,2,0,60814,False,True
True,72,True,"12:35PM on May 21, 2022",{},15877,250839@main,/app/webkit/LayoutTests,4,60065,2,0,60778,False,True
True,70,True,"08:31PM on May 21, 2022",{},15843,250844@main,/app/webkit/LayoutTests,4,60107,2,0,60819,False,True
True,70,True,"04:27AM on May 22, 2022",{},15816,250845@main,/app/webkit/LayoutTests,4,60146,2,0,60845,False,True
True,68,True,"12:22PM on May 22, 2022",{},15841,250847@main,/app/webkit/LayoutTests,4,60116,2,0,60822,False,True
True,71,True,"07:51PM on May 22, 2022",{},15878,250850@main,/app/webkit/LayoutTests,4,60070,2,0,60784,False,True
True,218,True,"09:17PM on May 22, 2022",{},52083,250850@main,/app/webkit/LayoutTests,4,20559,55,48,24580,False,False
True,219,True,"10:57PM on May 22, 2022",{},52075,250851@main,/app/webkit/LayoutTests,4,20561,55,58,24588,False,False
True,274,True,"12:15AM on May 23, 2022",{},51674,250852@main,/app/webkit/LayoutTests,4,21018,12,0,24988,False,True
True,270,True,"01:33AM on May 23, 2022",{},51110,250853@main,/app/webkit/LayoutTests,4,21609,12,0,25552,False,True
True,213,True,"03:15AM on May 23, 2022",{},52091,250854@main,/app/webkit/LayoutTests,4,20561,54,46,24573,False,False
True,219,True,"04:55AM on May 23, 2022",{},52085,250855@main,/app/webkit/LayoutTests,4,20561,54,42,24577,False,False
True,217,True,"07:06AM on May 23, 2022",{},52081,250856@main,/app/webkit/LayoutTests,4,20561,55,50,24581,False,False
